0, 0, 1, 0.999
100, 88, 0, 0.8989999999999999
200, 72, 0, 0.7989999999999998
300, 77, 0, 0.6989999999999997
400, 76, 0, 0.5989999999999996
500, 68, 0, 0.49899999999999956
600, 69, 0, 0.39899999999999947
700, 63, 0, 0.2989999999999994
800, 55, 0, 0.1989999999999993
900, 45, 0, 0.0989999999999992
1000, 42, 0, 0.0
1100, 47, 0, 0.0
1200, 57, 0, 0.0
1300, 54, 0, 0.0
1400, 48, 0, 0.0
1500, 63, 0, 0.0
1600, 54, 0, 0.0
1700, 55, 0, 0.0
1800, 47, 0, 0.0
1900, 53, 0, 0.0
2000, 54, 0, 0.0
2100, 74, 0, 0.0
2200, 87, 0, 0.0
2300, 65, 0, 0.0
2400, 62, 0, 0.0
2500, 51, 0, 0.0
2600, 55, 0, 0.0
2700, 56, 0, 0.0
2800, 42, 0, 0.0
2900, 41, 0, 0.0
3000, 65, 0, 0.0
3100, 58, 0, 0.0
3200, 37, 0, 0.0
3300, 19, 0, 0.0
3400, 0, 0, 0.0
3500, 0, 0, 0.0
3600, 0, 0, 0.0
3700, 0, 0, 0.0
3800, 0, 0, 0.0
3900, 0, 0, 0.0
4000, 0, 0, 0.0
4100, 0, 0, 0.0
4200, 0, 0, 0.0
4300, 0, 0, 0.0
4400, 0, 0, 0.0
4500, 0, 0, 0.0
4600, 0, 0, 0.0
4700, 0, 0, 0.0
4800, 0, 0, 0.0
4900, 0, 0, 0.0
